No,Date,Username,Tweet
1,2022-11-15T23:59:28.000Z,"John 'Jack' Daniels
@BaliUpdateEd
·
Nov 16, 2022","As an American & long-time resident of Bali, extremely disappointed to see Joe Biden's last-minute failure to appear at the Gala Dinner on 16 Nov for G20. The Indonesians poured their hearts & souls into a spectacular evening. How to accept Joe's snub of RI culture?"
2,2022-11-15T23:41:28.000Z,"tbone
@tbone9070
·
Nov 16, 2022",He'll think about it when he comes back from his tropical vacation in Bali.
3,2022-11-15T23:40:04.000Z,"zarni
@zarnii
·
Nov 16, 2022","NOOT ! BALINESE IS SIMILAR FAITH WITH RISHI SUNAK ! DIFFERENCES MAY BE A CULTURE N $ ! BY WRITING HIS NAME WITH A WIDER GAP IN BETWEEN 2 WORDS LIKE A BALI STYLE ENTRANCE GATE MAY WORK FOR HIM ! 
RISHI     SUNAK !"
4,2022-11-15T23:22:05.000Z,"Otter
@OtterFr
·
Nov 16, 2022",Was to insecure of his position to travel to Bali to attend G20 and unofficially lost ‘neutral’ position of China today…. People often wish Putler ‘disappeared’. I am saying be careful what you wish for….
5,2022-11-15T23:19:35.000Z,"Chelley P
@Ti_Michou
·
Nov 16, 2022","But also me passing on Bali made me go back to Africa instead, which eventually led to me going on this trip to Asia next week so I guess it comes full circle in a way? Lol"
6,2022-11-15T23:13:18.000Z,"Prateek
@PrateekRoutray
·
Nov 16, 2022"," Traditional group photo ahead of G20 summit in Bali 'delayed', Kyodo news agency reports

""Earlier, an Indonesian government spokesman said the group photo had been delayed because American & European leaders refused to be photographed with Russian Foreign Minister (Sergey"
7,2022-11-15T23:01:36.000Z,"Jago Promote
@JagoPromote48
·
Nov 16, 2022",One of fans chanting is Kecha. Inspired by 'Kecak' dance from Bali. #48FamilyFacts
8,2022-11-15T22:48:49.000Z,"Susie
@pandsreid
·
Nov 16, 2022","Egypt, Bali. Where next for their world Tour at our expense? #G20"
9,2022-11-15T22:31:30.000Z,"leenj
@finajoson
·
Nov 16, 2022","To myself
I owe a thousand roses, a date in Bali, Indonesia, a trip to Hawaiian Islands 
Holiday at Barbabos
Shopping in Dubai
Mood swings day at Boracay White Beach, Philippines
Romantic moment in Whitehaven Beach, Australia

Meal at  this will be a world wide tour"
10,2022-11-15T22:48:49.000Z,"Susie
@pandsreid
·
Nov 16, 2022","Egypt, Bali. Where next for their world Tour at our expense? #G20"
11,2022-11-15T22:31:30.000Z,"leenj
@finajoson
·
Nov 16, 2022","To myself
I owe a thousand roses, a date in Bali, Indonesia, a trip to Hawaiian Islands 
Holiday at Barbabos
Shopping in Dubai
Mood swings day at Boracay White Beach, Philippines
Romantic moment in Whitehaven Beach, Australia

Meal at  this will be a world wide tour"
12,2022-11-15T22:24:46.000Z,"Mial Pagan #GTTO #GeneralElectionNow
@mialp
·
Nov 16, 2022","G20 - keep Lavrov, take him for a long walk on a beach in Bali and ask him, 'Would you rather stay here or go back to the disaster that is Putin's Russia?'"
13,2022-11-15T22:00:02.000Z,"Closefeed bot
@closefeed_bot
·
Nov 16, 2022","island of Bali. As an alternative, he proposed some humanitarian corridors “or anything that could lead to the resumption of dialogue” as the first step to peace. “You are the world leaders, you have the ability to influence the course of history,” he added. READ ALSO: FIFA"
14,2022-11-15T21:53:42.000Z,"Humanitarian.
@Bharatarian
·
Nov 16, 2022","@PMOIndia
 Pls arrange PM's visit to Sri Radha Raseshwar temple in Bali, Indonesia. During one ecstatic kirtan, tears were welling down from the eyes of the deities there."
15,2022-11-15T21:34:29.000Z,"Henk de Wert
@HdeWert
·
Nov 16, 2022","I'm sorry, #ruZZian  bot, but the photo on the left is from #lavrov's  hospital in Bali!"
16,2022-11-15T21:31:33.000Z,"Phil Mattingly
@Phil_Mattingly
·
Nov 16, 2022","President Biden has been briefed on the reports out of Poland and will be speaking with Polish President Andrzej Duda soon, per the White House. 

It's 5:30a.m. here in Bali on Biden's last day of his foreign trip."
17,2022-11-15T21:26:15.000Z,"Bharat Pandey
@bharatadv04
·
Nov 16, 2022",does he know every temple of bali charges jajia ?btw edhar bhi govts...so no issues
18,2022-11-15T20:08:27.000Z,"dungs
@aboutdungs
·
Nov 16, 2022",My goal to trip bali
19,2022-11-15T19:55:27.000Z,"Nicko
@Nicko31688260
·
Nov 16, 2022","Did anthony albanese travel to Bali on tax payer money to promote Klaus Schwabs vision of his great reset and destruction of Australia's energy sector and plan Australia's future through his dream of a future where we own nothing we be happy. I'm pissed, Klaus shouldnt be there"
20,2022-11-15T19:48:36.000Z,"Jaguar Joe
@JaxJaguarJoe
·
Nov 16, 2022",Think of the trip to Bali you could have taken instead!
21,2022-11-15T19:48:33.000Z,"oceanbomb
@OLSuperTramp
·
Nov 16, 2022",Yeah she definitely deserves a vacation. I guess she’s on her way to Bali now so all is good 
22,2022-11-15T19:27:07.000Z,"Graham Woodbridge
@gwnott
·
Nov 16, 2022","...island of Bali.

""The PM has urged China's president to use his influence as a stabilising power to make Putin end the war,"" spokesperson #IsabelRodriguez told reporters.’

The summit is the first meeting of G20 leaders since Russia sent its troops into Ukraine in February."
23,2022-11-15T19:26:17.000Z,"Ale
@AlSalama_3
·
Nov 16, 2022",Mykonos or Bali next June for my 35th but idk if I can do that 25 hour trip to Bali 
24,2022-11-15T19:25:10.000Z,"Paket tour bali
@balitiratour
·
Nov 16, 2022","Paket tour bali group, family dan couple, paket tour lombok group, family dan couple, paket meeting bali, paket team building di bal ##bali"
25,2022-11-15T18:31:29.000Z,"tripnusapenidabali
@tripnusapenida_
·
Nov 16, 2022",Trip Nusa Penida Bali Best Offers Private Day Tours to Nusa Penida Island  #nusapenidatrip #nusapenida #tripnusapenidabali
26,2022-11-15T18:19:33.000Z,"john R
@johnR98271945
·
Nov 16, 2022",#bbcnews. I do hope that pensioners money isn’t being used to pay for Masons trip to Bali. Amazing that he is still in post after the comment ‘ let me make myself clear’ to this Country’s PM. Highly crass and very disrespectful.
27,2022-11-15T17:52:02.000Z,"VIRAJ TIWARI
@virajtiwariii
·
Nov 16, 2022",I can completely agree with Modiji here I have been to Bali Indonesia and they also follow the Hindu culture and there are many god's who are worshipped and while you enter the city you see the reference of Mahabharata there. Even In their local play's. It's shown.
28,2022-11-15T17:43:44.000Z,"Utopian Renaissance
@Utopian_R_NFT
·
Nov 16, 2022","The Utopian Muse launch party with 
@superninaglow
 starts 15th November
9pm EST twitter space start
10pm EST the virtual Spatial tour starts
11pm EST - Flexibility session w/ a Bali instructor trained in ballet, pilates & yoga 
11:45pm EST - Astrology readings by 
@enterthevertex"
29,2022-11-15T17:24:07.000Z,"Rajat Mehrotra
@Rajatlko
·
Nov 16, 2022","@Asifrahmanmolla
 Madrasa educated a jet would normally consume 2500 to 3000 litres per hour flight time between Delhi to Bali is 10 hrs approx.. so round trip would consume 50000 to 60000 litres not what you are saying… unfortunately we don’t have horses that fly in the sky"
30,2022-11-15T17:09:46.000Z,"Jay
@athleticbigboy
·
Nov 16, 2022",Aarrgh i could’ve been to bali and bring everyone to my friend’s beach club. UURRGHH
31,2022-11-15T17:24:07.000Z,"Rajat Mehrotra
@Rajatlko
·
Nov 16, 2022","@Asifrahmanmolla
 Madrasa educated a jet would normally consume 2500 to 3000 litres per hour flight time between Delhi to Bali is 10 hrs approx.. so round trip would consume 50000 to 60000 litres not what you are saying… unfortunately we don’t have horses that fly in the sky"
32,2022-11-15T17:09:46.000Z,"Jay
@athleticbigboy
·
Nov 16, 2022",Aarrgh i could’ve been to bali and bring everyone to my friend’s beach club. UURRGHH
33,2022-11-15T16:49:27.000Z,"Herbert・陈杨・陳陽（ハーバート）
@AgentHotel
·
Nov 15, 2022","BTW, the first group photo has Vasyl Hamianin (
@VHamianin
) who's Ukrainian Ambassador to Indonesia & currently being in Bali (His Fella's wearing glasses while holding Teh Botol & pointing to the front)."
34,2022-11-15T16:43:12.000Z,"Col Pavan Nair
@pavannair
·
Nov 15, 2022",How we get conditioned to wars. Politicos mouth homilies. War is not for these times. 100 missiles land in Ukraine. The victims are mostly civilians. That this is happening when photo ops are on in Bali is a slap on the face of world leaders. Nukes were supposed to suppress wars?
35,2022-11-15T16:37:45.000Z,"Esther Piry
@piry_esther
·
Nov 15, 2022","While doing the BEST & with wiser
and knowledge  I wish Mr. President JB also enjoying the beautiful Bali Island panorama   Gos bless!"
36,2022-11-15T16:25:07.000Z,"Rabindr Biswal
@RabindrBiswal
·
Nov 15, 2022",Thanks ji namo namo namo ji Excellent reality speech at Bali Indonesia for your journey
37,2022-11-15T16:12:00.000Z,"Malcolm X
@Malcolm85064573
·
Nov 15, 2022","On the sidelines of a press conference on the Indonesian island of Bali, site of the G20 summit, a 'revived' Lavrov who the Western press gave to the hospital, said that the Ukrainian conflict ""is a hybrid war unleashed and prepared by the West for years""."
38,2022-11-15T16:10:43.000Z,"Suvam Pal
@suvvz
·
Nov 15, 2022","The #G20 summit in #Bali has reminded me of interesting Chinese lexicons. In Chinese, Paris is called Bali (巴黎) while the Indonesian island is also pronounced as Bali (巴厘) but with different characters & tones. The Indonesian retreat is also popularly called Balidao (巴厘島)."
39,2022-11-15T16:08:39.000Z,"Roger H Edwards
@SgethinH
·
Nov 15, 2022",What! - felt sure he'd have wangled a trip to Bali! - after all he managed to do so to Sharm el Sheik that other luxury holiday destination.
40,2022-11-15T15:39:22.000Z,"DD News Odia
@DDNewsOdia
·
Nov 15, 2022","PM Sri Narendra Modi addresses Indian Community in Bali Island and narrates historic Bali Yatra of Cuttack, Odisha which bears stamp of strong ties between India and Indonesia."
41,2022-11-15T15:37:34.000Z,"Brendan
@Bu_long_dan
·
Nov 15, 2022","Xi has been out of China a couple times this year allready and is currently at the G20 summit in Bali, Indonesia. The SA trip is just a rumour but if it comes true it won't be the first trip since covid but still an interesting choice."
42,2022-11-15T15:25:31.000Z,"Craig Freeman
@CFman77
·
Nov 15, 2022","Why didn't they have, just an idea, hold the G7 and G20 summits in the same country, no, so they travel from Egypt to Bali, all on private jets. Yet they preach to save the planet due to climate change. Then dictate to us all what we can and can't do."
43,2022-11-15T15:12:59.000Z,"Littlestomper
@Littlestomper23
·
Nov 15, 2022","#366282854 
@finnsbali
 Finns Beach Club, Finns VIP Club, Finns Recreation Club is Bali’s premier entertainment and sporting venue where everyone is welcome. Finns Bali has “Something for Everyone”."
44,2022-11-15T15:06:21.000Z,"JonathanJ
@thegreenmini1
·
Nov 15, 2022","Don’t worry, the market manipulators are in Bali on a taxpayer funded vacation and will return to business as usual soon."
45,2022-11-15T15:01:52.000Z,"BlueBerriBlitz
@BlueBerriBlitz
·
Nov 15, 2022",Was just stuck in a nearly 4 hour traffic jam for a 15ish minute trip in Bali because they closed the roads for the fucking delegates of the G20 conference...I completely understand why they used to get assassinated back in the day
46,2022-11-15T14:43:08.000Z,"Littlestomper
@Littlestomper23
·
Nov 15, 2022","#323766788 
@finnsbali
 Finns Beach Club, Finns VIP Club, Finns Recreation Club is Bali’s premier entertainment and sporting venue where everyone is welcome. Finns Bali has “Something for Everyone”."
47,2022-11-15T14:38:34.000Z,"Pam Jacobs
@MsPJacobs
·
Nov 15, 2022","I hope you are getting some time to enjoy the beauty and the culture of Bali 
@murpharoo"
48,2022-11-15T14:31:08.000Z,"Altent McHuffer
@razor_altana
·
Nov 15, 2022","Why they have so much problem for looking at President's plane on Bali?

It's a fucking local journey for the home President, you insensitive sons of b*tches."
49,2022-11-15T14:30:21.000Z,"the chuumunist manifesto
@kombuchacomrade
·
Nov 15, 2022","okay so japan for christmas, maybe plan a trip for the lunar new year long weekend in january, march i go back to america and then bali in april for a month"
50,2022-11-15T14:07:44.000Z,"Nafo Agent Pivix
@NfoAgntPvx
·
Nov 15, 2022","#lavrov should be immediatly detained in Bali right now! send your agents ffs, how is this guy allowed to travel anywhere in the world while Ukraine is being terrorized partly by him RN!? Do something ffs! 
@IntlCrimCourt
 make an exemple of this s*umbag!! #russiaisateroriststate"
51,2022-11-15T14:07:26.000Z,"Littlestomper
@Littlestomper23
·
Nov 15, 2022","#28665392 
@finnsbali
 Finns Beach Club, Finns VIP Club, Finns Recreation Club is Bali’s premier entertainment and sporting venue where everyone is welcome. Finns Bali has “Something for Everyone”."
52,2022-11-15T14:04:09.000Z,"Pip
@missypippo_
·
Nov 15, 2022","hellooo, is anyone diver here? im planning to do a dive trip to bali next year on June "
53,2022-11-15T13:56:00.000Z,"billycombo
@billycombo_
·
Nov 15, 2022","With the hundreds of news articles, Elon must have thought Bali was an incredible tourist spot back in 2002"
54,2022-11-15T14:04:09.000Z,"Pip
@missypippo_
·
Nov 15, 2022","hellooo, is anyone diver here? im planning to do a dive trip to bali next year on June "
55,2022-11-15T13:56:00.000Z,"billycombo
@billycombo_
·
Nov 15, 2022","With the hundreds of news articles, Elon must have thought Bali was an incredible tourist spot back in 2002"
56,2022-11-15T13:40:55.000Z,"Dasvoice
@Dasvoice1
·
Nov 15, 2022",Fgs Rigby it was not his doing so I wouldn’t apologise when nothing to do with me at time. You and media like dogs with a bone. Just Move on just try and see some positive all you seem to want is people to apologise. You got a free trip to Bali 
57,2022-11-15T13:34:00.000Z,"dakner
@DakDakner
·
Nov 15, 2022",Working from Egypt beach resort and now Bali???
58,2022-11-15T13:21:28.000Z,"DeboDes
@DesDebo
·
Nov 15, 2022","I checked out hotels in #Bali at the same time as #Istanbul.
Bali is a #BEAUTIFUL #TOURIST HAVEN so the participants at the #G20Indonesia should have a whole lot of relaxation & extra fun during & after the #G20BaliSummit....
Wishing good health & solutions to #G20Indonesia2022"
59,2022-11-15T13:20:11.000Z,"Tyler Harris
@TylerJohnHarris
·
Nov 15, 2022","The G20 is in Bali, and it is always customary for attendees to do a photo in local fashion.  I imagine calling them “dictatorial garments” is pretty insulting to SE Asian culture, even though pop-culture in the west has built that visual association through Bond films, etc."
